Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1740036346600,3228,3228,3228,3228,3228,3228,3228,3228,57.34706497192383,56.596527099609375,60.242652893066406,60.813690185546875,55.665496826171875,56.58963394165039,57.21864700317383,55.67576599121094,57.21499252319336,56.399497985839844,100,100,9.523809432983398,5,4.761904716491699,0,0,0,25.163558959960938,17179869184,9663676416,12388433920,8185708544
204,1740036346804,3228,3228,3228,3228,3228,3228,3228,3228,57.34706497192383,56.596527099609375,60.242652893066406,60.813690185546875,55.665496826171875,56.58963394165039,57.21864700317383,55.67576599121094,57.21499252319336,56.399497985839844,100,100,50,33.333335876464844,21.052631378173828,15.000000953674316,9.523809432983398,0,25.163558959960938,17179869184,9663676416,12385468416,8185708544
203,1740036347009,3228,3228,3228,3228,3228,3228,3228,3228,57.34706497192383,56.596527099609375,60.242652893066406,60.813690185546875,55.665496826171875,56.58963394165039,57.21864700317383,55.67576599121094,57.21499252319336,56.399497985839844,100,100,50,35,28.571430206298828,28.571430206298828,5.263157844543457,14.285715103149414,25.163558959960938,17179869184,9663676416,12429901824,8185708544
204,1740036347213,3228,3228,3228,3228,3228,3228,3228,3228,57.34706497192383,56.596527099609375,60.242652893066406,60.813690185546875,55.665496826171875,56.58963394165039,57.21864700317383,55.67576599121094,57.21499252319336,56.399497985839844,100,100,65,50,45,40,28.571430206298828,15.789472579956055,28.13589859008789,17179869184,9663676416,12485787648,8185708544
204,1740036347418,3228,3228,3228,3228,3228,3228,3228,3228,57.34706497192383,56.596527099609375,60.242652893066406,60.813690185546875,55.665496826171875,56.58963394165039,57.21864700317383,55.67576599121094,57.21499252319336,56.399497985839844,100,100,23.809524536132813,20,5,4.761904716491699,4.761904716491699,4.545454502105713,28.13589859008789,17179869184,9663676416,12455821312,8185708544
204,1740036347623,3228,3228,3228,3228,3228,3228,3228,3228,56.73237609863281,56.49496078491211,58.10557556152344,59.23092269897461,55.033355712890625,55.98214340209961,57.391014099121094,55.57340621948242,57.25757598876953,56.03614044189453,100,100,47.619049072265625,33.333335876464844,28.571430206298828,25,20,10,28.13589859008789,17179869184,9663676416,12440846336,8185708544
203,1740036347828,3228,3228,3228,3228,3228,3228,3228,3228,56.73237609863281,56.49496078491211,58.10557556152344,59.23092269897461,55.033355712890625,55.98214340209961,57.391014099121094,55.57340621948242,57.25757598876953,56.03614044189453,100,100,78.94737243652344,76.19047546386719,61.904762268066406,61.904762268066406,45,42.85714340209961,28.13589859008789,17179869184,9663676416,12367904768,8185708544
201,1740036348032,3228,3228,3228,3228,3228,3228,3228,3228,56.73237609863281,56.49496078491211,58.10557556152344,59.23092269897461,55.033355712890625,55.98214340209961,57.391014099121094,55.57340621948242,57.25757598876953,56.03614044189453,100,100,71.42857360839844,57.894737243652344,47.36842346191406,60.000003814697266,35,30.000001907348633,28.13589859008789,17179869184,9663676416,12351422464,8185708544
204,1740036348233,3228,3228,3228,3228,3228,3228,3228,3228,56.73237609863281,56.49496078491211,58.10557556152344,59.23092269897461,55.033355712890625,55.98214340209961,57.391014099121094,55.57340621948242,57.25757598876953,56.03614044189453,94.73684692382813,94.73684692382813,70,65,50,52.6315803527832,33.333335876464844,25,19.270626068115234,17179869184,9663676416,12340559872,8185708544
203,1740036348438,3228,3228,3228,3228,3228,3228,3228,3228,56.73237609863281,56.49496078491211,58.10557556152344,59.23092269897461,55.033355712890625,55.98214340209961,57.391014099121094,55.57340621948242,57.25757598876953,56.03614044189453,95.23809814453125,95.45454406738281,60.000003814697266,52.38095474243164,42.85714340209961,38.095237731933594,23.809524536132813,10,19.270626068115234,17179869184,9663676416,12347080704,8185708544
201,1740036348641,3228,3228,3228,3228,3228,3228,3228,3228,58.45598220825195,58.68368911743164,61.40362548828125,62.72977828979492,56.76551055908203,58.59917449951172,61.18782424926758,59.48960876464844,59.51920700073242,57.97613525390625,100,100,63.15789031982422,55,42.85714340209961,47.619049072265625,30.000001907348633,25,19.270626068115234,17179869184,9663676416,12368822272,8185708544
