Metric,Engine A,Engine B,Mean A,Mean B,Test Used,Statistic,p-value,Effect Size,Percentage Change (%),Effect Size (non normal),Effect Size (Cohen's d)
Total Energy (J),Google,Google,7.562809244791667,7.562809244791667,Welch t-test,0.0,1.0,0.0,0.0,,
Total Energy (J),Google,Swisscows,7.562809244791667,13.254549153646076,Welch t-test,-2.6348413917039117,0.01184513250774006,-0.680313121997815,75.25959897473523,,
Total Energy (J),Google,Brave Search,7.562809244791667,13.66390380859278,Mann-Whitney U,102.0,2.782874101251223e-07,,80.6723317529501,0.11333333333333333,
Total Energy (J),Google,Qwant,7.562809244791667,13.008162434895834,Welch t-test,-3.8996139240580217,0.00025830132403020144,-1.0068759856343514,72.00172599691386,,
Total Energy (J),Swisscows,Bing,13.254549153646076,21.577244059246006,Welch t-test,-1.8248484973839576,0.07522357658458552,-0.47117385598131317,62.791233478586584,,
Total Energy (J),Swisscows,DuckDuckGo,13.254549153646076,17.490578206382633,Welch t-test,-1.5363332127706923,0.12989528513638687,-0.39667952981908183,31.959058008180573,,
Total Energy (J),Swisscows,Mojeek,13.254549153646076,7.21708374023195,Mann-Whitney U,802.0,2.028294855539196e-07,,-45.55013786910537,0.8911111111111111,
Total Energy (J),Swisscows,Startpage,13.254549153646076,20.681154378254238,Mann-Whitney U,406.0,0.5201446121616038,,56.03061362947409,0.45111111111111113,
Total Energy (J),Swisscows,OceanHero,13.254549153646076,20.65232137044465,Mann-Whitney U,126.0,1.7290312624849194e-06,,55.81308070945277,0.14,
Total Energy (J),Swisscows,Ecosia,13.254549153646076,15.552020263672846,Mann-Whitney U,368.0,0.22823006680742364,,17.333453468651395,0.4088888888888889,
Total Energy (J),Swisscows,You.com,13.254549153646076,27.587994384766596,Mann-Whitney U,86.0,7.694963560950099e-08,,108.13981724287967,0.09555555555555556,
Total Energy (J),Swisscows,Google,13.254549153646076,7.562809244791667,Welch t-test,2.6348413917039117,0.01184513250774006,0.680313121997815,-42.94178431024732,,
Total Energy (J),Swisscows,Swisscows,13.254549153646076,13.254549153646076,Welch t-test,0.0,1.0,0.0,0.0,,
Total Energy (J),Swisscows,Brave Search,13.254549153646076,13.66390380859278,Mann-Whitney U,457.0,0.9234421319782358,,3.0884087433037872,0.5077777777777778,
Total Energy (J),Swisscows,Qwant,13.254549153646076,13.008162434895834,Welch t-test,0.11038544688106065,0.9125977315727738,0.02850139982893409,-1.8588841905834745,,
Total Energy (J),Brave Search,Bing,13.66390380859278,21.577244059246006,Mann-Whitney U,159.0,1.7479133317173934e-05,,57.914197593200164,0.17666666666666667,
Total Energy (J),Brave Search,DuckDuckGo,13.66390380859278,17.490578206382633,Mann-Whitney U,257.0,0.004427193167173018,,28.005718214902707,0.28555555555555556,
Total Energy (J),Brave Search,Mojeek,13.66390380859278,7.21708374023195,Mann-Whitney U,792.0,4.4440478739951943e-07,,-47.18139236538416,0.88,
Total Energy (J),Brave Search,Startpage,13.66390380859278,20.681154378254238,Mann-Whitney U,367.0,0.22257289646656508,,51.35611804620975,0.4077777777777778,
Total Energy (J),Brave Search,OceanHero,13.66390380859278,20.65232137044465,Mann-Whitney U,188.0,0.00011057725968083765,,51.14510215928982,0.2088888888888889,
Total Energy (J),Brave Search,Ecosia,13.66390380859278,15.552020263672846,Mann-Whitney U,374.0,0.26432621279678536,,13.818279764913829,0.41555555555555557,
Total Energy (J),Brave Search,You.com,13.66390380859278,27.587994384766596,Mann-Whitney U,97.0,1.8730978430511631e-07,,101.9041905682724,0.10777777777777778,
Total Energy (J),Brave Search,Google,13.66390380859278,7.562809244791667,Mann-Whitney U,798.0,2.782874101251223e-07,,-44.65118204333622,0.8866666666666667,
Total Energy (J),Brave Search,Swisscows,13.66390380859278,13.254549153646076,Mann-Whitney U,443.0,0.9234421319782358,,-2.995883611894822,0.4922222222222222,
Total Energy (J),Brave Search,Brave Search,13.66390380859278,13.66390380859278,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Total Energy (J),Brave Search,Qwant,13.66390380859278,13.008162434895834,Mann-Whitney U,383.0,0.32552658677915214,,-4.799077795648503,0.4255555555555556,
Total Energy (J),Qwant,Bing,13.008162434895834,21.577244059246006,Welch t-test,-2.0150544986290475,0.0521407597465413,-0.5202848343260423,65.8746511449047,,
Total Energy (J),Qwant,DuckDuckGo,13.008162434895834,17.490578206382633,Welch t-test,-2.027883588902261,0.048511617776220956,-0.5235972911910521,34.458485538758524,,
Total Energy (J),Qwant,Mojeek,13.008162434895834,7.21708374023195,Mann-Whitney U,785.0,7.599145368665679e-07,,-44.51880673882634,0.8722222222222222,
Total Energy (J),Qwant,Startpage,13.008162434895834,20.681154378254238,Mann-Whitney U,475.0,0.717188813606376,,58.98597885566647,0.5277777777777778,
Total Energy (J),Qwant,OceanHero,13.008162434895834,20.65232137044465,Mann-Whitney U,196.0,0.00017835554843874464,,58.764325659422234,0.21777777777777776,
